Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	6/30/20 10:54 PM
Duration:	06:36:25'35
Activities:	Other
Max HR:	122
Average HR:	83
Calories:	1648
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
489	1969-12-31 19:00:00.489	00:00:01	109	OK
978	1969-12-31 19:00:00.978	00:00:01	108	OK
1472	1969-12-31 19:00:01.472	00:00:02	107	OK
2208	1969-12-31 19:00:02.208	00:00:02	107	OK
2704	1969-12-31 19:00:02.704	00:00:03	107	OK
3198	1969-12-31 19:00:03.198	00:00:04	107	OK
3936	1969-12-31 19:00:03.936	00:00:04	106	OK
4427	1969-12-31 19:00:04.427	00:00:05	106	OK
4924	1969-12-31 19:00:04.924	00:00:06	106	OK
5412	1969-12-31 19:00:05.412	00:00:06	106	OK
6155	1969-12-31 19:00:06.155	00:00:07	106	OK
6652	1969-12-31 19:00:06.652	00:00:08	106	OK
7382	1969-12-31 19:00:07.382	00:00:08	106	OK
7875	1969-12-31 19:00:07.875	00:00:09	105	OK
8376	1969-12-31 19:00:08.376	00:00:10	105	OK
8870	1969-12-31 19:00:08.870	00:00:10	106	OK
9597	1969-12-31 19:00:09.597	00:00:11	106	OK
10090	1969-12-31 19:00:10.090	00:00:12	106	OK
10582	1969-12-31 19:00:10.582	00:00:12	105	OK
11074	1969-12-31 19:00:11.074	00:00:13	105	OK
11813	1969-12-31 19:00:11.813	00:00:14	106	OK
12308	1969-12-31 19:00:12.308	00:00:14	106	OK
13045	1969-12-31 19:00:13.045	00:00:15	105	OK
13538	1969-12-31 19:00:13.538	00:00:15	104	OK
14041	1969-12-31 19:00:14.041	00:00:16	104	OK
14768	1969-12-31 19:00:14.768	00:00:17	104	OK
15260	1969-12-31 19:00:15.260	00:00:17	105	OK
15757	1969-12-31 19:00:15.757	00:00:18	104	OK
16496	1969-12-31 19:00:16.496	00:00:18	104	OK
16987	1969-12-31 19:00:16.987	00:00:19	104	OK
17487	1969-12-31 19:00:17.487	00:00:20	104	OK
18224	1969-12-31 19:00:18.224	00:00:20	105	OK
18712	1969-12-31 19:00:18.712	00:00:21	105	OK
19206	1969-12-31 19:00:19.206	00:00:21	105	OK
19699	1969-12-31 19:00:19.699	00:00:22	104	OK
20446	1969-12-31 19:00:20.446	00:00:23	105	OK
20938	1969-12-31 19:00:20.938	00:00:23	105	OK
21427	1969-12-31 19:00:21.427	00:00:24	105	OK
22162	1969-12-31 19:00:22.162	00:00:25	105	OK
22652	1969-12-31 19:00:22.652	00:00:25	105	OK
23145	1969-12-31 19:00:23.145	00:00:26	106	OK
23643	1969-12-31 19:00:23.643	00:00:39	106	OK
24383	1969-12-31 19:00:24.383	00:00:40	106	OK
24868	1969-12-31 19:00:24.868	00:00:40	106	OK
25368	1969-12-31 19:00:25.368	00:00:41	106	OK
25857	1969-12-31 19:00:25.857	00:00:41	106	OK
26595	1969-12-31 19:00:26.595	00:00:42	106	OK
27083	1969-12-31 19:00:27.083	00:00:42	106	OK
27577	1969-12-31 19:00:27.577	00:00:43	106	OK
28320	1969-12-31 19:00:28.320	00:00:43	106	OK
28810	1969-12-31 19:00:28.810	00:00:44	106	OK
29314	1969-12-31 19:00:29.314	00:00:45	106	OK
30040	1969-12-31 19:00:30.040	00:00:45	106	OK
30534	1969-12-31 19:00:30.534	00:00:46	106	OK
31030	1969-12-31 19:00:31.030	00:00:46	106	OK
31518	1969-12-31 19:00:31.518	00:00:47	105	OK
32257	1969-12-31 19:00:32.257	00:00:47	106	OK
32748	1969-12-31 19:00:32.748	00:00:48	106	OK
33239	1969-12-31 19:00:33.239	00:00:49	106	OK
33977	1969-12-31 19:00:33.977	00:00:49	105	OK
34469	1969-12-31 19:00:34.469	00:00:50	105	OK
34962	1969-12-31 19:00:34.962	00:00:50	105	OK
35705	1969-12-31 19:00:35.705	00:00:51	105	OK
36196	1969-12-31 19:00:36.196	00:00:52	105	OK
