Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	6/30/20 10:54 PM
Duration:	06:36:25'35
Activities:	Other
Max HR:	122
Average HR:	83
Calories:	1648
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1593572070023	2020-06-30 22:54:30.023	00:00:01	109	OK
1593572070512	2020-06-30 22:54:30.512	00:00:01	108	OK
1593572071001	2020-06-30 22:54:31.001	00:00:02	107	OK
1593572071495	2020-06-30 22:54:31.495	00:00:02	107	OK
1593572072231	2020-06-30 22:54:32.231	00:00:03	107	OK
1593572072727	2020-06-30 22:54:32.727	00:00:04	107	OK
1593572073221	2020-06-30 22:54:33.221	00:00:04	106	OK
1593572073959	2020-06-30 22:54:33.959	00:00:05	106	OK
1593572074450	2020-06-30 22:54:34.450	00:00:06	106	OK
1593572074947	2020-06-30 22:54:34.947	00:00:06	106	OK
1593572075435	2020-06-30 22:54:35.435	00:00:07	106	OK
1593572076178	2020-06-30 22:54:36.178	00:00:08	106	OK
1593572076675	2020-06-30 22:54:36.675	00:00:08	106	OK
1593572077405	2020-06-30 22:54:37.405	00:00:09	105	OK
1593572077898	2020-06-30 22:54:37.898	00:00:10	105	OK
1593572078399	2020-06-30 22:54:38.399	00:00:10	106	OK
1593572078893	2020-06-30 22:54:38.893	00:00:11	106	OK
1593572079620	2020-06-30 22:54:39.620	00:00:12	106	OK
1593572080113	2020-06-30 22:54:40.113	00:00:12	105	OK
1593572080605	2020-06-30 22:54:40.605	00:00:13	105	OK
1593572081097	2020-06-30 22:54:41.097	00:00:14	106	OK
1593572081836	2020-06-30 22:54:41.836	00:00:14	106	OK
1593572082331	2020-06-30 22:54:42.331	00:00:15	105	OK
1593572083068	2020-06-30 22:54:43.068	00:00:15	104	OK
1593572083561	2020-06-30 22:54:43.561	00:00:16	104	OK
1593572084064	2020-06-30 22:54:44.064	00:00:17	104	OK
1593572084791	2020-06-30 22:54:44.791	00:00:17	105	OK
1593572085283	2020-06-30 22:54:45.283	00:00:18	104	OK
1593572085780	2020-06-30 22:54:45.780	00:00:18	104	OK
1593572086519	2020-06-30 22:54:46.519	00:00:19	104	OK
1593572087010	2020-06-30 22:54:47.010	00:00:20	104	OK
1593572087510	2020-06-30 22:54:47.510	00:00:20	105	OK
1593572088247	2020-06-30 22:54:48.247	00:00:21	105	OK
1593572088735	2020-06-30 22:54:48.735	00:00:21	105	OK
1593572089229	2020-06-30 22:54:49.229	00:00:22	104	OK
1593572089722	2020-06-30 22:54:49.722	00:00:23	105	OK
1593572090469	2020-06-30 22:54:50.469	00:00:23	105	OK
1593572090961	2020-06-30 22:54:50.961	00:00:24	105	OK
1593572091450	2020-06-30 22:54:51.450	00:00:25	105	OK
1593572092185	2020-06-30 22:54:52.185	00:00:25	105	OK
1593572092675	2020-06-30 22:54:52.675	00:00:26	106	OK
1593572093168	2020-06-30 22:54:53.168	00:00:39	106	OK
1593572093666	2020-06-30 22:54:53.666	00:00:40	106	OK
1593572094406	2020-06-30 22:54:54.406	00:00:40	106	OK
1593572094891	2020-06-30 22:54:54.891	00:00:41	106	OK
1593572095391	2020-06-30 22:54:55.391	00:00:41	106	OK
1593572095880	2020-06-30 22:54:55.880	00:00:42	106	OK
1593572096618	2020-06-30 22:54:56.618	00:00:42	106	OK
1593572097106	2020-06-30 22:54:57.106	00:00:43	106	OK
1593572097600	2020-06-30 22:54:57.600	00:00:43	106	OK
1593572098343	2020-06-30 22:54:58.343	00:00:44	106	OK
1593572098833	2020-06-30 22:54:58.833	00:00:45	106	OK
1593572099337	2020-06-30 22:54:59.337	00:00:45	106	OK
1593572100063	2020-06-30 22:55:00.063	00:00:46	106	OK
1593572100557	2020-06-30 22:55:00.557	00:00:46	106	OK
1593572101053	2020-06-30 22:55:01.053	00:00:47	105	OK
1593572101541	2020-06-30 22:55:01.541	00:00:47	106	OK
1593572102280	2020-06-30 22:55:02.280	00:00:48	106	OK
1593572102771	2020-06-30 22:55:02.771	00:00:49	106	OK
1593572103262	2020-06-30 22:55:03.262	00:00:49	105	OK
1593572104000	2020-06-30 22:55:04.000	00:00:50	105	OK
1593572104492	2020-06-30 22:55:04.492	00:00:50	105	OK
1593572104985	2020-06-30 22:55:04.985	00:00:51	105	OK
1593572105728	2020-06-30 22:55:05.728	00:00:52	105	OK
1593572106219	2020-06-30 22:55:06.219	00:00:52	105	OK
1593572106713	2020-06-30 22:55:06.713	00:00:53	105	OK
1593572107454	2020-06-30 22:55:07.454	00:00:54	104	OK
1593572107943	2020-06-30 22:55:07.943	00:00:54	105	OK
1593572108438	2020-06-30 22:55:08.438	00:00:55	105	OK
1593572109179	2020-06-30 22:55:09.179	00:00:56	105	OK
1593572109670	2020-06-30 22:55:09.670	00:00:56	105	OK
1593572110158	2020-06-30 22:55:10.158	00:00:57	105	OK
1593572110653	2020-06-30 22:55:10.653	00:00:58	105	OK
1593572111392	2020-06-30 22:55:11.392	00:00:58	106	OK
1593572111882	2020-06-30 22:55:11.882	00:00:59	105	OK
1593572112375	2020-06-30 22:55:12.375	00:01:00	105	OK
1593572113271	2020-06-30 22:55:13.271	00:01:00	105	OK
1593572113607	2020-06-30 22:55:13.607	00:01:01	105	OK
1593572114100	2020-06-30 22:55:14.100	00:01:02	105	OK
1593572114839	2020-06-30 22:55:14.839	00:01:03	105	OK
1593572115360	2020-06-30 22:55:15.360	00:01:03	105	OK
1593572115825	2020-06-30 22:55:15.825	00:01:04	105	OK
1593572116563	2020-06-30 22:55:16.563	00:01:04	105	OK
1593572117056	2020-06-30 22:55:17.056	00:01:05	105	OK
1593572117549	2020-06-30 22:55:17.549	00:01:06	105	OK
1593572118291	2020-06-30 22:55:18.291	00:01:06	104	OK
1593572118779	2020-06-30 22:55:18.779	00:01:07	104	OK
1593572119272	2020-06-30 22:55:19.272	00:01:08	104	OK
1593572120010	2020-06-30 22:55:20.010	00:01:09	104	OK
1593572120501	2020-06-30 22:55:20.501	00:01:09	105	OK
1593572120996	2020-06-30 22:55:20.996	00:01:10	104	OK
1593572121735	2020-06-30 22:55:21.735	00:01:11	104	OK
1593572122225	2020-06-30 22:55:22.225	00:01:11	105	OK
1593572122716	2020-06-30 22:55:22.716	00:01:12	106	OK
1593572123217	2020-06-30 22:55:23.217	00:01:13	106	OK
1593572123708	2020-06-30 22:55:23.708	00:01:14	107	OK
1593572124444	2020-06-30 22:55:24.444	00:01:14	107	OK
1593572124935	2020-06-30 22:55:24.935	00:01:15	108	OK
1593572125429	2020-06-30 22:55:25.429	00:01:16	109	OK
1593572125919	2020-06-30 22:55:25.919	00:01:17	110	OK
1593572126411	2020-06-30 22:55:26.411	00:01:17	110	OK
1593572127149	2020-06-30 22:55:27.149	00:01:18	109	OK
1593572127641	2020-06-30 22:55:27.641	00:01:19	108	OK
1593572128134	2020-06-30 22:55:28.134	00:01:20	108	OK
1593572128877	2020-06-30 22:55:28.877	00:01:21	108	OK
1593572129369	2020-06-30 22:55:29.369	00:01:21	107	OK
1593572129858	2020-06-30 22:55:29.858	00:01:22	107	OK
1593572130351	2020-06-30 22:55:30.351	00:01:23	107	OK
1593572131094	2020-06-30 22:55:31.094	00:01:24	107	OK
1593572131582	2020-06-30 22:55:31.582	00:01:24	107	OK
1593572132077	2020-06-30 22:55:32.077	00:01:25	107	OK
1593572132825	2020-06-30 22:55:32.825	00:01:26	107	OK
1593572133310	2020-06-30 22:55:33.310	00:01:27	106	OK
1593572133802	2020-06-30 22:55:33.802	00:01:28	106	OK
1593572134542	2020-06-30 22:55:34.542	00:01:28	106	OK
1593572135033	2020-06-30 22:55:35.033	00:01:29	106	OK
1593572135526	2020-06-30 22:55:35.526	00:01:30	106	OK
1593572136268	2020-06-30 22:55:36.268	00:01:31	105	OK
1593572136757	2020-06-30 22:55:36.757	00:01:32	105	OK
1593572137249	2020-06-30 22:55:37.249	00:01:33	105	OK
1593572137993	2020-06-30 22:55:37.993	00:01:33	105	OK
1593572138482	2020-06-30 22:55:38.482	00:01:34	105	OK
1593572138982	2020-06-30 22:55:38.982	00:01:35	104	OK
1593572139713	2020-06-30 22:55:39.713	00:01:36	104	OK
1593572140215	2020-06-30 22:55:40.215	00:01:37	104	OK
1593572140706	2020-06-30 22:55:40.706	00:01:37	104	OK
1593572141434	2020-06-30 22:55:41.434	00:01:38	104	OK
1593572141926	2020-06-30 22:55:41.926	00:01:39	104	OK
1593572142421	2020-06-30 22:55:42.421	00:01:40	104	OK
1593572143156	2020-06-30 22:55:43.156	00:01:40	104	OK
1593572143654	2020-06-30 22:55:43.654	00:01:41	104	OK
1593572144142	2020-06-30 22:55:44.142	00:01:42	104	OK
1593572144886	2020-06-30 22:55:44.886	00:01:43	105	OK
1593572145379	2020-06-30 22:55:45.379	00:01:44	105	OK
1593572145872	2020-06-30 22:55:45.872	00:01:45	105	OK
1593572146379	2020-06-30 22:55:46.379	00:01:45	105	OK
1593572147107	2020-06-30 22:55:47.107	00:01:46	105	OK
1593572147593	2020-06-30 22:55:47.593	00:01:47	105	OK
1593572148087	2020-06-30 22:55:48.087	00:01:48	105	OK
1593572148827	2020-06-30 22:55:48.827	00:01:49	105	OK
1593572149315	2020-06-30 22:55:49.315	00:01:50	105	OK
1593572149809	2020-06-30 22:55:49.809	00:01:50	106	OK
